,Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,PetalRatio,SepalRatio
109,110,7.2,3.6,6.1,2.5,Iris-virginica,2.44,2
110,111,6.5,3.2,5.1,2,Iris-virginica,2.55,2.03125
111,112,6.4,2.7,5.3,1.9,Iris-virginica,2.789473684,2.37037037
112,113,6.8,3,5.5,2.1,Iris-virginica,2.619047619,2.266666667
113,114,5.7,2.5,5,2,Iris-virginica,2.5,2.28
114,115,5.8,2.8,5.1,2.4,Iris-virginica,2.125,2.071428571
115,116,6.4,3.2,5.3,2.3,Iris-virginica,2.304347826,2
116,117,6.5,3,5.5,1.8,Iris-virginica,3.055555556,2.166666667
117,118,7.7,3.8,6.7,2.2,Iris-virginica,3.045454545,2.026315789
118,119,7.7,2.6,6.9,2.3,Iris-virginica,3,2.961538462
119,120,6,2.2,5,1.5,Iris-virginica,3.333333333,2.727272727
120,121,6.9,3.2,5.7,2.3,Iris-virginica,2.47826087,2.15625
121,122,5.6,2.8,4.9,2,Iris-virginica,2.45,2
122,123,7.7,2.8,6.7,2,Iris-virginica,3.35,2.75
123,124,6.3,2.7,4.9,1.8,Iris-virginica,2.722222222,2.333333333
124,125,6.7,3.3,5.7,2.1,Iris-virginica,2.714285714,2.03030303
125,126,7.2,3.2,6,1.8,Iris-virginica,3.333333333,2.25
126,127,6.2,2.8,4.8,1.8,Iris-virginica,2.666666667,2.214285714
127,128,6.1,3,4.9,1.8,Iris-virginica,2.722222222,2.033333333
128,129,6.4,2.8,5.6,2.1,Iris-virginica,2.666666667,2.285714286
129,130,7.2,3,5.8,1.6,Iris-virginica,3.625,2.4
130,131,7.4,2.8,6.1,1.9,Iris-virginica,3.210526316,2.642857143
131,132,7.9,3.8,6.4,2,Iris-virginica,3.2,2.078947368
132,133,6.4,2.8,5.6,2.2,Iris-virginica,2.545454545,2.285714286
133,134,6.3,2.8,5.1,1.5,Iris-virginica,3.4,2.25
134,135,6.1,2.6,5.6,1.4,Iris-virginica,4,2.346153846
135,136,7.7,3,6.1,2.3,Iris-virginica,2.652173913,2.566666667
136,137,6.3,3.4,5.6,2.4,Iris-virginica,2.333333333,1.852941176
137,138,6.4,3.1,5.5,1.8,Iris-virginica,3.055555556,2.064516129
138,139,6,3,4.8,1.8,Iris-virginica,2.666666667,2
139,140,6.9,3.1,5.4,2.1,Iris-virginica,2.571428571,2.225806452
140,141,6.7,3.1,5.6,2.4,Iris-virginica,2.333333333,2.161290323
141,142,6.9,3.1,5.1,2.3,Iris-virginica,2.217391304,2.225806452
142,143,5.8,2.7,5.1,1.9,Iris-virginica,2.684210526,2.148148148
143,144,6.8,3.2,5.9,2.3,Iris-virginica,2.565217391,2.125
144,145,6.7,3.3,5.7,2.5,Iris-virginica,2.28,2.03030303
145,146,6.7,3,5.2,2.3,Iris-virginica,2.260869565,2.233333333
146,147,6.3,2.5,5,1.9,Iris-virginica,2.631578947,2.52
147,148,6.5,3,5.2,2,Iris-virginica,2.6,2.166666667
148,149,6.2,3.4,5.4,2.3,Iris-virginica,2.347826087,1.823529412
149,150,5.9,3,5.1,1.8,Iris-virginica,2.833333333,1.966666667
